Student_ID,Attendance_Pct,AMCAT_Logical,AMCAT_Quant,AMCAT_Verbal,AMCAT_Domain,Score_10th,Score_12th_Diploma,Active_Backlogs,Portal_Logins_Per_Month,Housing,Commute_Time_Mins,OS_CIE,DBMS_CIE,SE_CIE,MDM_CIE,Entrepreneurship_CIE,ICSR_CIE,Risk_Level
STU21000,78,687,637,719,697,87,74,1,17,Hosteller,76,40,39,33,40,38,43,SAFE
STU21001,84,715,727,684,670,85,87,0,36,Hosteller,26,52,49,55,45,51,46,SAFE
STU21002,60,523,479,489,476,48,63,2,10,Day-Scholar,7,20,29,25,21,24,27,WARNING
STU21003,73,558,523,533,508,70,89,1,13,Hosteller,28,39,31,37,30,40,34,SAFE
STU21004,79,591,614,602,620,61,73,1,17,Hosteller,22,31,30,27,36,28,34,SAFE
STU21005,45,481,495,474,485,58,59,4,1,Hosteller,60,33,29,32,25,31,21,CRITICAL
STU21006,35,281,284,260,217,54,40,5,2,Hosteller,37,22,13,13,11,22,15,CRITICAL
STU21007,79,470,492,485,528,65,93,1,17,Hosteller,93,37,42,43,39,40,37,SAFE
STU21008,85,803,874,881,797,66,84,0,40,Hosteller,80,58,56,51,57,58,49,SAFE
STU21009,97,869,847,834,809,92,58,0,25,Day-Scholar,88,50,60,60,53,60,52,SAFE
STU21010,77,611,542,547,615,64,91,1,13,Hosteller,46,33,28,30,30,39,31,SAFE
STU21011,99,734,647,652,661,94,83,0,46,Day-Scholar,14,52,55,49,46,52,54,SAFE
STU21012,82,548,545,557,517,62,80,2,10,Hosteller,76,43,40,43,42,39,46,SAFE
STU21013,45,245,267,219,210,72,64,3,3,Hosteller,67,31,35,33,32,24,28,CRITICAL
STU21014,96,723,730,775,710,87,80,0,44,Day-Scholar,44,48,42,50,46,46,52,SAFE
STU21015,68,407,435,441,459,68,78,0,19,Hosteller,120,28,33,34,31,25,31,WARNING
STU21016,75,706,632,692,685,84,58,0,24,Hosteller,58,45,36,36,37,35,33,SAFE
STU21017,33,197,225,200,190,68,67,3,4,Day-Scholar,42,19,18,15,14,21,19,CRITICAL
STU21018,62,358,395,391,431,52,56,1,4,Day-Scholar,40,22,24,20,24,21,20,WARNING
STU21019,83,671,666,622,662,61,77,0,20,Hosteller,16,56,49,55,55,54,55,SAFE
STU21020,71,497,461,439,460,74,90,0,12,Hosteller,62,34,45,45,45,38,44,SAFE
STU21021,56,341,387,320,374,55,67,2,4,Day-Scholar,64,17,28,25,19,19,17,CRITICAL
STU21022,98,775,714,786,802,67,61,0,47,Hosteller,89,55,52,51,51,59,52,SAFE
STU21023,97,693,686,692,687,87,61,0,26,Hosteller,9,46,43,46,52,46,43,SAFE
STU21024,59,371,330,387,343,75,64,1,8,Day-Scholar,104,20,17,22,14,19,20,WARNING
STU21025,93,868,855,859,803,66,91,0,41,Hosteller,31,52,60,50,59,57,50,SAFE
STU21026,36,273,202,254,218,69,57,5,10,Hosteller,94,33,26,31,25,25,34,CRITICAL
STU21027,72,455,398,433,419,86,75,0,18,Hosteller,20,34,25,30,27,33,24,WARNING
STU21028,71,729,740,703,682,69,88,0,16,Day-Scholar,103,37,29,39,35,33,40,SAFE
STU21029,69,674,621,625,616,75,89,0,10,Day-Scholar,23,42,37,39,34,39,32,SAFE
STU21030,71,652,598,652,585,75,82,0,14,Day-Scholar,31,40,36,37,37,42,40,SAFE
STU21031,73,432,399,445,471,68,84,0,21,Day-Scholar,92,40,42,41,40,34,42,SAFE
STU21032,93,797,808,768,752,85,77,0,47,Day-Scholar,71,46,43,52,43,52,41,SAFE
STU21033,75,438,414,466,499,81,61,0,13,Hosteller,74,34,36,31,35,36,33,SAFE
STU21034,96,679,687,701,631,68,55,0,34,Hosteller,12,51,48,42,43,46,41,SAFE
STU21035,84,764,771,790,748,94,76,0,47,Hosteller,56,50,47,52,55,58,51,SAFE
STU21036,72,474,431,520,486,73,56,2,23,Hosteller,45,36,36,36,42,34,40,WARNING
STU21037,100,829,898,821,900,83,73,0,21,Day-Scholar,47,51,44,47,51,47,46,SAFE
STU21038,75,539,480,495,504,61,77,0,19,Hosteller,94,39,32,40,39,37,42,SAFE
STU21039,88,832,834,847,852,74,84,0,34,Day-Scholar,98,49,56,55,52,50,45,SAFE
STU21040,72,532,537,530,539,70,88,2,19,Hosteller,97,42,38,39,42,48,40,WARNING
STU21041,65,331,288,375,344,46,61,1,2,Hosteller,90,14,16,13,18,14,16,WARNING
STU21042,65,658,614,618,638,85,77,0,19,Day-Scholar,59,31,29,28,36,34,25,WARNING
STU21043,34,460,435,421,460,67,48,2,1,Hosteller,89,9,14,11,12,15,15,CRITICAL
STU21044,96,765,761,771,804,82,89,0,49,Hosteller,24,51,46,53,49,49,54,SAFE
STU21045,38,412,451,429,410,66,70,1,1,Day-Scholar,118,27,30,27,25,29,28,WARNING
STU21046,89,672,667,675,760,69,85,0,22,Hosteller,14,42,48,48,42,46,45,SAFE
STU21047,32,347,281,321,267,70,64,2,7,Day-Scholar,58,20,29,22,20,23,28,CRITICAL
STU21048,70,715,685,658,718,67,71,0,22,Hosteller,16,42,42,36,44,39,36,SAFE
STU21049,72,494,430,440,425,62,67,0,17,Hosteller,100,35,25,33,36,30,28,SAFE
STU21050,71,352,364,383,366,89,71,0,25,Day-Scholar,56,31,28,30,33,28,28,WARNING
STU21051,92,710,714,739,775,82,59,0,31,Day-Scholar,24,42,50,49,49,42,45,SAFE
STU21052,68,667,709,629,640,81,58,1,16,Hosteller,50,36,43,42,45,38,43,SAFE
STU21053,69,653,651,575,609,65,59,0,14,Hosteller,107,39,27,35,34,34,27,SAFE
STU21054,66,533,538,572,520,87,74,0,22,Day-Scholar,79,42,48,43,39,42,48,SAFE
STU21055,76,598,539,595,572,73,79,2,20,Day-Scholar,104,31,31,36,28,36,28,WARNING
STU21056,92,588,590,654,652,86,79,0,49,Day-Scholar,63,60,54,51,60,58,56,SAFE
STU21057,36,295,279,298,314,59,41,1,4,Hosteller,94,30,28,23,30,24,24,CRITICAL
STU21058,95,713,774,792,778,67,61,0,40,Day-Scholar,114,54,54,46,46,48,52,SAFE
STU21059,93,806,892,863,800,67,71,0,20,Day-Scholar,52,51,44,49,48,44,51,SAFE
STU21060,71,602,554,583,576,73,55,0,11,Day-Scholar,108,45,34,41,45,40,40,SAFE
STU21061,76,685,673,709,729,83,73,1,20,Hosteller,111,46,38,39,40,45,42,SAFE
STU21062,85,773,785,798,707,67,93,0,29,Hosteller,99,51,54,53,57,51,51,SAFE
STU21063,68,659,659,612,620,62,90,0,11,Day-Scholar,108,33,34,27,28,24,36,SAFE
STU21064,30,435,413,439,388,62,68,3,1,Hosteller,45,28,27,30,34,35,34,CRITICAL
STU21065,87,735,744,815,775,83,87,0,39,Hosteller,76,59,60,52,52,55,53,SAFE
STU21066,59,328,380,328,354,71,48,1,2,Day-Scholar,6,23,24,15,19,12,15,WARNING
STU21067,73,376,361,452,449,69,63,0,21,Hosteller,77,29,28,28,33,35,30,SAFE
STU21068,73,693,692,704,647,64,85,2,13,Day-Scholar,116,40,40,38,36,36,31,WARNING
STU21069,75,507,530,490,481,65,58,0,23,Hosteller,19,44,33,45,40,33,39,SAFE
STU21070,76,470,460,514,420,66,94,0,12,Day-Scholar,92,46,45,38,48,39,43,SAFE
STU21071,82,652,591,594,662,87,66,0,25,Hosteller,57,60,60,58,51,55,53,SAFE
